country,year,sex,list,cause,cdr
USA,1987,2,short,8,759
USA,1987,2,short,9,202
USA,1987,2,short,10,207
USA,1987,2,short,11,384
USA,1987,2,short,12,292
USA,1987,2,short,13,67
USA,1987,2,short,14,184
USA,1987,2,short,15,131
USA,1987,2,short,16,353
USA,1988,2,short,0,8315
USA,1988,2,short,1,169
USA,1988,2,short,2,1890
USA,1988,2,short,3,33
USA,1988,2,short,4,268
USA,1988,2,short,5,98
USA,1988,2,short,6,183
USA,1988,2,short,7,3029
USA,1988,2,short,8,756
USA,1988,2,short,9,200
USA,1988,2,short,10,237
USA,1988,2,short,11,409
USA,1988,2,short,12,293
USA,1988,2,short,13,70
USA,1988,2,short,14,189
USA,1988,2,short,15,133
USA,1988,2,short,16,358
USA,1989,2,short,0,8189
USA,1989,2,short,1,164
USA,1989,2,short,2,1915
USA,1989,2,short,3,33
USA,1989,2,short,4,296
USA,1989,2,short,5,98
USA,1989,2,short,6,188
USA,1989,2,short,7,2903
USA,1989,2,short,8,727
USA,1989,2,short,9,188
USA,1989,2,short,10,234
USA,1989,2,short,11,415
USA,1989,2,short,12,290
USA,1989,2,short,13,72
USA,1989,2,short,14,181
USA,1989,2,short,15,135
USA,1989,2,short,16,349
USA,1990,2,short,0,8091
USA,1990,2,short,1,164
USA,1990,2,short,2,1926
USA,1990,2,short,3,33
USA,1990,2,short,4,294
USA,1990,2,short,5,97
USA,1990,2,short,6,194
USA,1990,2,short,7,2827
USA,1990,2,short,8,713
USA,1990,2,short,9,180
USA,1990,2,short,10,241
USA,1990,2,short,11,419
USA,1990,2,short,12,288
USA,1990,2,short,13,72
USA,1990,2,short,14,178
USA,1990,2,short,15,127
USA,1990,2,short,16,337
USA,1991,2,short,0,8091
USA,1991,2,short,1,171
USA,1991,2,short,2,1944
USA,1991,2,short,3,34
USA,1991,2,short,4,297
USA,1991,2,short,5,99
USA,1991,2,short,6,200
USA,1991,2,short,7,2809
USA,1991,2,short,8,701
USA,1991,2,short,9,177
USA,1991,2,short,10,232
USA,1991,2,short,11,440
USA,1991,2,short,12,286
USA,1991,2,short,13,69
USA,1991,2,short,14,179
USA,1991,2,short,15,121
USA,1991,2,short,16,332
USA,1992,2,short,0,8029
USA,1992,2,short,1,176
USA,1992,2,short,2,1946
USA,1992,2,short,3,35
USA,1992,2,short,4,300
USA,1992,2,short,5,100
USA,1992,2,short,6,202
USA,1992,2,short,7,2771
USA,1992,2,short,8,695
USA,1992,2,short,9,175
USA,1992,2,short,10,221
USA,1992,2,short,11,444
USA,1992,2,short,12,284
USA,1992,2,short,13,67
USA,1992,2,short,14,179
USA,1992,2,short,15,116
USA,1992,2,short,16,319
USA,1993,2,short,0,8332
USA,1993,2,short,1,190
USA,1993,2,short,2,1965
USA,1993,2,short,3,35
USA,1993,2,short,4,319
USA,1993,2,short,5,114
USA,1993,2,short,6,229
USA,1993,2,short,7,2864
USA,1993,2,short,8,721
USA,1993,2,short,9,177
USA,1993,2,short,10,243
