country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1983,1,short,4,11,58765.66,283.33,123.62,37.36,66.74,106,131.16,176.85,209.16,242.22,348.99,612.92,1350.8,2953.53,5441.17,8476.74,11052.25,11364.39,8275.91,7512.52,5022.27,2490.25,1973.09,517.16,451.53,65.64
USA,1983,1,short,4,12,39504.27,269.07,69.86,31.53,30.25,47.33,135.19,377.75,875.56,1204.37,1748.27,2265.05,3128.4,4229.82,4832.48,4993.06,4585.43,4063.32,3180.45,3437.1,2131.9,1305.2,1022.57,282.63,239.1,43.53
USA,1983,1,short,4,13,4188.09,16.34,12.87,10.72,9.72,23.14,27.83,44.51,52.25,69.18,101.85,98.67,157.95,250.47,328.77,473.99,564.2,672.06,539.5,734.07,450.74,283.33,209.08,74.25,64.66,9.59
USA,1983,1,short,4,14,16206.47,143.1,22.3,9.74,5.94,22.5,43.16,94.55,115.67,131.81,168.68,218.92,383.25,672.91,1044.24,1493.63,2200.97,2728.74,2812.52,3893.82,2251.43,1642.4,1209.52,432.88,356.97,75.91
USA,1983,1,short,4,15,21965.26,19425.91,566.6,147.17,127.01,177.99,154.71,154.06,128.65,120.79,97.28,94.97,113.33,131.15,106.11,105.91,100.14,94.69,54.17,64.64,38.98,25.66,16.15,9.51,5.3,4.21
USA,1983,1,short,4,16,105620.97,688.24,2167.98,1436.22,2007.32,9380.84,14754.65,13216.42,10612.87,7829.2,6031.78,4902.18,5055.66,5124.37,4685.42,4119.72,3905.67,3580.22,2914.47,3207.74,1986.7,1221.04,928.23,292.81,255.94,36.87
USA,1984,1,short,4,0,1076514,22367.52,4147.64,2483.21,3109.2,10941.24,17754.18,17771.97,18036.24,18710.4,21906.77,28818.53,45042.72,73218.69,105445.35,129239.77,150198.31,148170.74,122322.55,136828.96,82106.7,54722.26,41033.05,13689.21,11784.71,1904.5
USA,1984,1,short,4,1,14410.51,413.84,145.08,64.62,37,71.58,169.12,317.91,446.75,458.75,426.27,462.85,569.44,905.82,1270.04,1474.24,1804.36,1827.89,1549.97,1994.99,1170.43,824.56,613.05,211.51,179.73,31.78
USA,1984,1,short,4,2,252251.29,98.19,361.6,374.65,379.07,601.07,852.18,1185.25,1740.96,2538.9,4162.94,6933.31,13089.07,23660.65,33623.63,39987.49,42359.2,36247.36,24655.09,19400.67,13303.72,6096.96,4899.95,1197,1069.6,127.4
USA,1984,1,short,4,3,4487.11,72.23,81.75,31.48,29.93,54.09,113.98,269.11,401.17,399.58,200.85,166.4,171.08,210.83,258.8,353.73,369.74,412.52,403.51,486.33,285.62,200.71,154.18,46.53,40.58,5.95
USA,1984,1,short,4,4,21685.43,181.46,94.89,71.9,71.79,82.33,148.79,208.17,298.4,400.46,503.44,630.49,961.36,1447.31,2116.05,2724.57,3136.28,3233.36,2558.39,2815.99,1689.75,1126.24,863.12,263.12,230.47,32.65
